Itemset
Sauce
Egg
Cola
Bread
Jam
Diaper
Milk
Pickle
"Sauce, Egg"
"Sauce, Cola"
"Sauce, Bread"
"Sauce, Jam"
"Sauce, Diaper"
"Sauce, Milk"
"Sauce, Pickle"
"Egg, Cola"
"Egg, Bread"
"Egg, Jam"
"Egg, Diaper"
"Egg, Milk"
"Egg, Pickle"
"Cola, Bread"
"Cola, Jam"
"Cola, Diaper"
"Cola, Milk"
"Cola, Pickle"
"Bread, Jam"
"Bread, Diaper"
"Bread, Milk"
"Bread, Pickle"
"Jam, Diaper"
"Jam, Milk"
"Jam, Pickle"
"Diaper, Milk"
"Diaper, Pickle"
"Milk, Pickle"
"Sauce, Egg, Cola"
"Sauce, Egg, Bread"
"Sauce, Egg, Jam"
"Sauce, Egg, Diaper"
"Sauce, Egg, Milk"
"Sauce, Egg, Pickle"
"Sauce, Cola, Bread"
"Sauce, Cola, Jam"
"Sauce, Cola, Diaper"
"Sauce, Cola, Milk"
"Sauce, Cola, Pickle"
"Sauce, Bread, Jam"
"Sauce, Bread, Diaper"
"Sauce, Bread, Milk"
"Sauce, Bread, Pickle"
"Sauce, Jam, Diaper"
"Sauce, Jam, Milk"
"Sauce, Jam, Pickle"
"Sauce, Diaper, Milk"
"Sauce, Diaper, Pickle"
"Sauce, Milk, Pickle"
"Egg, Cola, Bread"
"Egg, Cola, Jam"
"Egg, Cola, Diaper"
"Egg, Cola, Milk"
"Egg, Cola, Pickle"
"Egg, Bread, Jam"
"Egg, Bread, Diaper"
"Egg, Bread, Milk"
"Egg, Bread, Pickle"
"Egg, Jam, Diaper"
"Egg, Jam, Milk"
"Egg, Jam, Pickle"
"Egg, Diaper, Milk"
"Egg, Diaper, Pickle"
"Egg, Milk, Pickle"
"Cola, Bread, Jam"
"Cola, Bread, Diaper"
"Cola, Bread, Milk"
"Cola, Bread, Pickle"
"Cola, Jam, Diaper"
"Cola, Jam, Milk"
"Cola, Jam, Pickle"
"Cola, Diaper, Milk"
"Cola, Diaper, Pickle"
"Cola, Milk, Pickle"
"Bread, Jam, Diaper"
"Bread, Jam, Milk"
"Bread, Jam, Pickle"
"Bread, Diaper, Milk"
"Bread, Diaper, Pickle"
"Bread, Milk, Pickle"
"Jam, Diaper, Milk"
"Jam, Diaper, Pickle"
"Jam, Milk, Pickle"
"Diaper, Milk, Pickle"
"Sauce, Egg, Cola, Bread"
"Sauce, Egg, Cola, Jam"
"Sauce, Egg, Cola, Diaper"
"Sauce, Egg, Cola, Milk"
"Sauce, Egg, Cola, Pickle"
"Sauce, Egg, Bread, Jam"
"Sauce, Egg, Bread, Diaper"
"Sauce, Egg, Bread, Milk"
"Sauce, Egg, Bread, Pickle"
"Sauce, Egg, Jam, Diaper"
"Sauce, Egg, Jam, Milk"
"Sauce, Egg, Jam, Pickle"
"Sauce, Egg, Diaper, Milk"
"Sauce, Egg, Diaper, Pickle"
"Sauce, Egg, Milk, Pickle"
"Sauce, Cola, Bread, Jam"
"Sauce, Cola, Bread, Diaper"
"Sauce, Cola, Bread, Milk"
"Sauce, Cola, Bread, Pickle"
"Sauce, Cola, Jam, Diaper"
"Sauce, Cola, Jam, Milk"
"Sauce, Cola, Jam, Pickle"
"Sauce, Cola, Diaper, Milk"
"Sauce, Cola, Diaper, Pickle"
"Sauce, Cola, Milk, Pickle"
"Sauce, Bread, Jam, Diaper"
"Sauce, Bread, Jam, Milk"
"Sauce, Bread, Jam, Pickle"
"Sauce, Bread, Diaper, Milk"
"Sauce, Bread, Diaper, Pickle"
"Sauce, Bread, Milk, Pickle"
"Sauce, Jam, Diaper, Milk"
"Sauce, Jam, Diaper, Pickle"
"Sauce, Jam, Milk, Pickle"
"Sauce, Diaper, Milk, Pickle"
"Egg, Cola, Bread, Jam"
"Egg, Cola, Bread, Diaper"
"Egg, Cola, Bread, Milk"
"Egg, Cola, Bread, Pickle"
"Egg, Cola, Jam, Diaper"
"Egg, Cola, Jam, Milk"
"Egg, Cola, Jam, Pickle"
"Egg, Cola, Diaper, Milk"
"Egg, Cola, Diaper, Pickle"
"Egg, Cola, Milk, Pickle"
"Egg, Bread, Jam, Diaper"
"Egg, Bread, Jam, Milk"
"Egg, Bread, Jam, Pickle"
"Egg, Bread, Diaper, Milk"
"Egg, Bread, Diaper, Pickle"
"Egg, Bread, Milk, Pickle"
"Egg, Jam, Diaper, Milk"
"Egg, Jam, Diaper, Pickle"
"Egg, Jam, Milk, Pickle"
"Egg, Diaper, Milk, Pickle"
"Cola, Bread, Jam, Diaper"
"Cola, Bread, Jam, Milk"
"Cola, Bread, Jam, Pickle"
"Cola, Bread, Diaper, Milk"
"Cola, Bread, Diaper, Pickle"
"Cola, Bread, Milk, Pickle"
"Cola, Jam, Diaper, Milk"
"Cola, Jam, Diaper, Pickle"
"Cola, Jam, Milk, Pickle"
"Cola, Diaper, Milk, Pickle"
"Bread, Jam, Diaper, Milk"
"Bread, Jam, Diaper, Pickle"
"Bread, Jam, Milk, Pickle"
"Bread, Diaper, Milk, Pickle"
"Jam, Diaper, Milk, Pickle"
"Sauce, Egg, Cola, Bread, Jam"
