Itemset
Cola
Bread
Milk
Egg
Sauce
Pickle
Jam
Diaper
"Cola, Bread"
"Cola, Milk"
"Cola, Egg"
"Cola, Sauce"
"Cola, Pickle"
"Cola, Jam"
"Cola, Diaper"
"Bread, Milk"
"Bread, Egg"
"Bread, Sauce"
"Bread, Pickle"
"Bread, Jam"
"Bread, Diaper"
"Milk, Egg"
"Milk, Sauce"
"Milk, Pickle"
"Milk, Jam"
"Milk, Diaper"
"Egg, Sauce"
"Egg, Pickle"
"Egg, Jam"
"Egg, Diaper"
"Sauce, Pickle"
"Sauce, Jam"
"Sauce, Diaper"
"Pickle, Jam"
"Pickle, Diaper"
"Jam, Diaper"
"Cola, Bread, Milk"
"Cola, Bread, Egg"
"Cola, Bread, Sauce"
"Cola, Bread, Pickle"
"Cola, Bread, Jam"
"Cola, Bread, Diaper"
"Cola, Milk, Egg"
"Cola, Milk, Sauce"
"Cola, Milk, Pickle"
"Cola, Milk, Jam"
"Cola, Milk, Diaper"
"Cola, Egg, Sauce"
"Cola, Egg, Pickle"
"Cola, Egg, Jam"
"Cola, Egg, Diaper"
"Cola, Sauce, Pickle"
"Cola, Sauce, Jam"
"Cola, Sauce, Diaper"
"Cola, Pickle, Jam"
"Cola, Pickle, Diaper"
"Cola, Jam, Diaper"
"Bread, Milk, Egg"
"Bread, Milk, Sauce"
"Bread, Milk, Pickle"
"Bread, Milk, Jam"
"Bread, Milk, Diaper"
"Bread, Egg, Sauce"
"Bread, Egg, Pickle"
"Bread, Egg, Jam"
"Bread, Egg, Diaper"
"Bread, Sauce, Pickle"
"Bread, Sauce, Jam"
"Bread, Sauce, Diaper"
"Bread, Pickle, Jam"
"Bread, Pickle, Diaper"
"Bread, Jam, Diaper"
"Milk, Egg, Sauce"
"Milk, Egg, Pickle"
"Milk, Egg, Jam"
"Milk, Egg, Diaper"
"Milk, Sauce, Pickle"
"Milk, Sauce, Jam"
"Milk, Sauce, Diaper"
"Milk, Pickle, Jam"
"Milk, Pickle, Diaper"
"Milk, Jam, Diaper"
"Egg, Sauce, Pickle"
"Egg, Sauce, Jam"
"Egg, Sauce, Diaper"
"Egg, Pickle, Jam"
"Egg, Pickle, Diaper"
"Egg, Jam, Diaper"
"Sauce, Pickle, Jam"
"Sauce, Pickle, Diaper"
"Sauce, Jam, Diaper"
"Pickle, Jam, Diaper"
"Cola, Bread, Milk, Egg"
"Cola, Bread, Milk, Sauce"
"Cola, Bread, Milk, Pickle"
"Cola, Bread, Milk, Jam"
"Cola, Bread, Milk, Diaper"
"Cola, Bread, Egg, Sauce"
"Cola, Bread, Egg, Pickle"
"Cola, Bread, Egg, Jam"
"Cola, Bread, Egg, Diaper"
"Cola, Bread, Sauce, Pickle"
"Cola, Bread, Sauce, Jam"
"Cola, Bread, Sauce, Diaper"
"Cola, Bread, Pickle, Jam"
"Cola, Bread, Pickle, Diaper"
"Cola, Bread, Jam, Diaper"
"Cola, Milk, Egg, Sauce"
"Cola, Milk, Egg, Pickle"
"Cola, Milk, Egg, Jam"
"Cola, Milk, Egg, Diaper"
"Cola, Milk, Sauce, Pickle"
"Cola, Milk, Sauce, Jam"
"Cola, Milk, Sauce, Diaper"
"Cola, Milk, Pickle, Jam"
"Cola, Milk, Pickle, Diaper"
"Cola, Milk, Jam, Diaper"
"Cola, Egg, Sauce, Pickle"
"Cola, Egg, Sauce, Jam"
"Cola, Egg, Sauce, Diaper"
"Cola, Egg, Pickle, Jam"
"Cola, Egg, Pickle, Diaper"
"Cola, Egg, Jam, Diaper"
"Cola, Sauce, Pickle, Jam"
"Cola, Sauce, Pickle, Diaper"
"Cola, Sauce, Jam, Diaper"
"Cola, Pickle, Jam, Diaper"
"Bread, Milk, Egg, Sauce"
"Bread, Milk, Egg, Pickle"
"Bread, Milk, Egg, Jam"
"Bread, Milk, Egg, Diaper"
"Bread, Milk, Sauce, Pickle"
"Bread, Milk, Sauce, Jam"
"Bread, Milk, Sauce, Diaper"
"Bread, Milk, Pickle, Jam"
"Bread, Milk, Pickle, Diaper"
"Bread, Milk, Jam, Diaper"
"Bread, Egg, Sauce, Pickle"
"Bread, Egg, Sauce, Jam"
"Bread, Egg, Sauce, Diaper"
"Bread, Egg, Pickle, Jam"
"Bread, Egg, Pickle, Diaper"
"Bread, Egg, Jam, Diaper"
"Bread, Sauce, Pickle, Jam"
"Bread, Sauce, Pickle, Diaper"
"Bread, Sauce, Jam, Diaper"
"Bread, Pickle, Jam, Diaper"
"Milk, Egg, Sauce, Pickle"
"Milk, Egg, Sauce, Jam"
"Milk, Egg, Sauce, Diaper"
"Milk, Egg, Pickle, Jam"
"Milk, Egg, Pickle, Diaper"
"Milk, Egg, Jam, Diaper"
